# Cortes et al. (2026) - Benchtop Conductivity Measurements,,,,,,,,,,
#,,,,,,,,,,
# Instrument: TBD (add details),,,,,,,,,,
# Reference: See Cortes et al. (2026) manuscript for full methodology,,,,,,,,,,
#,,,,,,,,,,
# Data description:,,,,,,,,,,
# - All measurements from benchtop conductivity probe,,,,,,,,,,
# - Gamry impedance data analyzed separately from raw Gamry files,,,,,,,,,,
# - Temperatures: 5°C, 10°C, 20°C,,,,,,,,
# - Compounds: KCl, NaCl, Na2SO4, NaCl:MgSO4 mixtures, Na2SO4:KCl mixtures,,,,,,
#              NaCl+Glycine, pure amino acids (Alanine, Aspartic Acid, Glutamic Acid, Glycine),,,,,,
# - Multiple replicates per condition for NaCl and organic compounds,,,,,,,,,,
#,,,,,,,,,,
# Columns:,,,,,,,,,,
#   compound: Chemical formula or mixture notation,,,,,,,,,,
#   concentration_molal: Molality (mol/kg_H2O),,,,,,,,,,
#     NOTE: Original data in M/L, assuming molal ≈ molar for dilute solutions,,,,,,,,,
#   temperature_C: Temperature (Celsius),,,,,,,,,,
#   temperature_K: Temperature (Kelvin),,,,,,,,,,
#   conductivity_Sm: Conductivity (S/m),,,,,,,,,,
#     NOTE: Converted from mS/cm by dividing by 10,,,,,,,,,,
#   replicate: Replicate number,,,,,,,,,,
#   source: Data source ('benchtop'),,,,,,,,,,
#   notes: Additional notes,,,,,,,,,,
#,,,,,,,,,,
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes,,,
Glycine,0.1,20,293.15,1.166,7,benchtop,"100 mM/L Glycine, replicate 7",,,correct
Glycine,0.1,20,293.15,1.169,8,benchtop,"100 mM/L Glycine, replicate 8",,,correct
Glycine,0.1,20,293.15,1.174,9,benchtop,"100 mM/L Glycine, replicate 9",,,correct
KCl,0.5,5,278.15,3.907,1,benchtop,0.5 M/L,,,fixed
KCl,0.75,5,278.15,5.943,1,benchtop,0.75 M/L,,,fixed
KCl,1,5,278.15,7.884,1,benchtop,1.0 M/L,,,fixed
KCl,1.5,5,278.15,11.345,1,benchtop,1.5 M/L,,,fixed
KCl,0.5,10,283.15,4.473,1,benchtop,0.5 M/L,,,fixed
KCl,0.75,10,283.15,6.762,1,benchtop,0.75 M/L,,,fixed
KCl,1,10,283.15,8.807,1,benchtop,1.0 M/L,,,fixed
KCl,1.5,10,283.15,12.742,1,benchtop,1.5 M/L,,,fixed
KCl,0.5,20,293.15,5.379,1,benchtop,0.5 M/L,,,fixed
KCl,0.75,20,293.15,8.088,1,benchtop,0.75 M/L,,,fixed
KCl,1,20,293.15,10.613,1,benchtop,1.0 M/L,,,fixed
KCl,1.5,20,293.15,15.173,1,benchtop,1.5 M/L,,,fixed
Na2SO4,0.5,5,278.15,4.82,1,benchtop,0.5 M/L,,,fixed
Na2SO4,0.75,5,278.15,4.964,1,benchtop,0.75 M/L,,,fixed
Na2SO4,0.5,10,283.15,4.433,1,benchtop,0.5 M/L,,,fixed
Na2SO4,0.75,10,283.15,4.725,1,benchtop,0.75 M/L,,,fixed
Na2SO4,0.5,20,293.15,5.511,1,benchtop,0.5 M/L,,,fixed
Na2SO4,0.75,20,293.15,7.182,1,benchtop,0.75 M/L,,,fixed
Na2SO4:KCl_1:1,0.5,5,278.15,6.875,1,benchtop,"1:1 mixture, 0.5 M/L each",,,fixed
Na2SO4:KCl_1:1,0.75,5,278.15,8.999,1,benchtop,"1:1 mixture, 0.75 M/L each",,,fixed
Na2SO4:KCl_1:1,1,5,278.15,10.767,1,benchtop,"1:1 mixture, 1.0 M/L each",,,fixed
Na2SO4:KCl_1:1,0.5,10,283.15,7.694,1,benchtop,"1:1 mixture, 0.5 M/L each",,,fixed
Na2SO4:KCl_1:1,0.75,10,283.15,10.305,1,benchtop,"1:1 mixture, 0.75 M/L each",,,fixed
Na2SO4:KCl_1:1,1,10,283.15,12.388,1,benchtop,"1:1 mixture, 1.0 M/L each",,,fixed
Na2SO4:KCl_1:1,0.5,20,293.15,9.685,1,benchtop,"1:1 mixture, 0.5 M/L each",,,fixed
Na2SO4:KCl_1:1,0.75,20,293.15,12.572,1,benchtop,"1:1 mixture, 0.75 M/L each",,,fixed
Na2SO4:KCl_1:1,1,20,293.15,15.157,1,benchtop,"1:1 mixture, 1.0 M/L each",,,fixed
Na2SO4:KCl_2:1,1.5,5,278.15,9.854,1,benchtop,1.5:0.75 M/L Na2SO4:KCl,,,fixed
Na2SO4:KCl_2:1,1.5,10,283.15,11.315,1,benchtop,1.5:0.75 M/L Na2SO4:KCl,,,fixed
Na2SO4:KCl_2:1,1.5,20,293.15,14.248,1,benchtop,1.5:0.75 M/L Na2SO4:KCl,,,fixed
Na2SO4:KCl_1:2,0.75,5,278.15,12.915,1,benchtop,0.75:1.5 M/L Na2SO4:KCl,,,added
Na2SO4:KCl_1:2,0.75,10,283.15,14.563,1,benchtop,0.75:1.5 M/L Na2SO4:KCl,,,added
Na2SO4:KCl_1:2,0.75,20,293.15,17.975,1,benchtop,0.75:1.5 M/L Na2SO4:KCl,,,added
NaCl,0.5,20,293.15,4.368,1,benchtop,"0.5 M/L, replicate 1",,,correct
NaCl,0.5,20,293.15,4.365,2,benchtop,"0.5 M/L, replicate 2",,,correct
NaCl,0.5,20,293.15,4.366,3,benchtop,"0.5 M/L, replicate 3",,,correct
NaCl,0.5,20,293.15,4.586,4,benchtop,"0.5 M/L, replicate 4",,,correct
NaCl,0.5,20,293.15,4.579,5,benchtop,"0.5 M/L, replicate 5",,,correct
NaCl,0.5,20,293.15,4.576,6,benchtop,"0.5 M/L, replicate 6",,,correct
NaCl,0.75,20,293.15,6.354,1,benchtop,"0.75 M/L, replicate 1",,,correct
NaCl,0.75,20,293.15,6.318,2,benchtop,"0.75 M/L, replicate 2",,,correct
NaCl,0.75,20,293.15,6.326,3,benchtop,"0.75 M/L, replicate 3",,,correct
NaCl,0.75,20,293.15,6.469,4,benchtop,"0.75 M/L, replicate 4",,,correct
NaCl,0.75,20,293.15,6.459,5,benchtop,"0.75 M/L, replicate 5",,,correct
NaCl,0.75,20,293.15,6.457,6,benchtop,"0.75 M/L, replicate 6",,,correct
NaCl,1,20,293.15,8.027,1,benchtop,"1.0 M/L, replicate 1",,,correct
NaCl,1,20,293.15,8.033,2,benchtop,"1.0 M/L, replicate 2",,,correct
NaCl,1,20,293.15,8.039,3,benchtop,"1.0 M/L, replicate 3",,,correct
NaCl,1,20,293.15,8.399,4,benchtop,"1.0 M/L, replicate 4",,,correct
NaCl,1,20,293.15,8.431,5,benchtop,"1.0 M/L, replicate 5",,,correct
NaCl,1,20,293.15,8.429,6,benchtop,"1.0 M/L, replicate 6",,,correct
NaCl,1.5,20,293.15,11.45,1,benchtop,"1.5 M/L, replicate 1",,,correct
NaCl,1.5,20,293.15,11.42,2,benchtop,"1.5 M/L, replicate 2",,,correct
NaCl,1.5,20,293.15,11.43,3,benchtop,"1.5 M/L, replicate 3",,,correct
NaCl,1.5,20,293.15,11.63,4,benchtop,"1.5 M/L, replicate 4",,,correct
NaCl,1.5,20,293.15,11.66,5,benchtop,"1.5 M/L, replicate 5",,,correct
NaCl,1.5,20,293.15,11.68,6,benchtop,"1.5 M/L, replicate 6",,,correct
NaCl+Glycine,0.5,20,293.15,4.612,1,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 1",,,correct
NaCl+Glycine,0.5,20,293.15,4.61,2,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 2",,,correct
NaCl+Glycine,0.5,20,293.15,4.612,3,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 3",,,correct
NaCl+Glycine,0.5,20,293.15,4.448,4,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 4",,,correct
NaCl+Glycine,0.5,20,293.15,4.434,5,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 5",,,correct
NaCl+Glycine,0.5,20,293.15,4.423,6,benchtop,"0.5 M/L NaCl + 100mM/L glycine, replicate 6",,,correct
NaCl+Glycine,0.75,20,293.15,6.517,1,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 1",,,correct
NaCl+Glycine,0.75,20,293.15,6.533,2,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 2",,,correct
NaCl+Glycine,0.75,20,293.15,6.537,3,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 3",,,correct
NaCl+Glycine,0.75,20,293.15,6.4,4,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 4",,,correct
NaCl+Glycine,0.75,20,293.15,6.401,5,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 5",,,correct
NaCl+Glycine,0.75,20,293.15,6.412,6,benchtop,"0.75 M/L NaCl + 100mM/L glycine, replicate 6",,,correct
NaCl+Glycine,1,20,293.15,8.475,1,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 1",,,correct
NaCl+Glycine,1,20,293.15,8.492,2,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 2",,,correct
NaCl+Glycine,1,20,293.15,8.504,3,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 3",,,correct
NaCl+Glycine,1,20,293.15,8.089,4,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 4",,,correct
NaCl+Glycine,1,20,293.15,8.113,5,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 5",,,correct
NaCl+Glycine,1,20,293.15,8.108,6,benchtop,"1.0 M/L NaCl + 100mM/L glycine, replicate 6",,,correct
NaCl+Glycine,1.5,20,293.15,11.7,1,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 1",,,correct
NaCl+Glycine,1.5,20,293.15,11.7,2,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 2",,,correct
NaCl+Glycine,1.5,20,293.15,11.71,3,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 3",,,correct
NaCl+Glycine,1.5,20,293.15,11.5,4,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 4",,,correct
NaCl+Glycine,1.5,20,293.15,11.5,5,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 5",,,correct
NaCl+Glycine,1.5,20,293.15,11.53,6,benchtop,"1.5 M/L NaCl + 100mM/L glycine, replicate 6",,,correct
NaCl:MgSO4_1:1,0.5,5,278.15,4.415,1,benchtop,Original: 0.5 M/L,,,fixed
NaCl:MgSO4_1:1,0.75,5,278.15,5.616,1,benchtop,Original: 0.75 M/L,,,fixed
NaCl:MgSO4_1:1,1,5,278.15,6.312,1,benchtop,Original: 1.0 M/L,,,fixed
NaCl:MgSO4_1:1,1.5,5,278.15,6.492,1,benchtop,Original: 1.5 M/L,,,fixed
NaCl:MgSO4_1:1,0.5,10,283.15,5.051,1,benchtop,Original: 0.5 M/L,,,fixed
NaCl:MgSO4_1:1,0.75,10,283.15,6.514,1,benchtop,Original: 0.75 M/L,,,fixed
NaCl:MgSO4_1:1,1,10,283.15,7.32,1,benchtop,Original: 1.0 M/L,,,fixed
NaCl:MgSO4_1:1,1.5,10,283.15,7.608,1,benchtop,Original: 1.5 M/L,,,fixed
NaCl:MgSO4_1:1,0.5,20,293.15,6.288,1,benchtop,Original: 0.5 M/L,,,fixed
NaCl:MgSO4_1:1,0.75,20,293.15,8.07,1,benchtop,Original: 0.75 M/L,,,fixed
NaCl:MgSO4_1:1,1,20,293.15,9.155,1,benchtop,Original: 1.0 M/L,,,fixed
NaCl:MgSO4_1:1,1.5,20,293.15,9.756,1,benchtop,Original: 1.5 M/L,,,fixed
NaCl:MgSO4_1:2,0.75,5,278.15,5.189,1,benchtop,0.75:1.5 M/L NaCl:MgSO4,,,fixed
NaCl:MgSO4_1:2,0.75,10,283.15,6.003,1,benchtop,0.75:1.5 M/L NaCl:MgSO4,,,fixed
NaCl:MgSO4_1:2,0.75,20,293.15,7.736,1,benchtop,0.75:1.5 M/L NaCl:MgSO4,,,fixed
NaCl:MgSO4_2:1,1.5,5,278.15,7.927,1,benchtop,1.5:0.75 M/L NaCl:MgSO4,,,fixed
NaCl:MgSO4_2:1,1.5,10,283.15,8.989,1,benchtop,1.5:0.75 M/L NaCl:MgSO4,,,fixed
NaCl:MgSO4_2:1,1.5,20,293.15,11.388,1,benchtop,1.5:0.75 M/L NaCl:MgSO4,,,fixed
